Municipality Code,Municipality Name,Registered Voters,Issued Envelopes,Valid Votes,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
553701,BaËalky,133,98,97,"12,37 %","0,00 %","0,00 %","5,15 %","0,00 %","5,15 %","9,27 %","1,03 %","5,15 %","1,03 %","0,00 %","0,00 %","14,43 %","0,00 %","4,12 %","35,05 %","0,00 %","1,03 %","1,03 %","0,00 %","0,00 %","0,00 %","5,15 %","0,00 %"
572667,Baönice,170,116,115,"6,95 %","0,00 %","0,00 %","4,34 %","0,00 %","6,95 %","6,08 %","0,00 %","0,86 %","0,00 %","0,00 %","0,00 %","3,47 %","0,00 %","1,73 %","51,30 %","0,00 %","0,00 %","6,08 %","1,73 %","0,00 %","0,00 %","10,43 %","0,00 %"
572675,BÏchary,230,98,96,"4,16 %","0,00 %","0,00 %","10,41 %","0,00 %","3,12 %","3,12 %","0,00 %","3,12 %","1,04 %","0,00 %","0,00 %","7,29 %","0,00 %","0,00 %","43,75 %","0,00 %","0,00 %","6,25 %","0,00 %","0,00 %","0,00 %","17,70 %","0,00 %"
548901,BÌlsko u Ho¯ic,98,75,75,"10,66 %","0,00 %","0,00 %","6,66 %","0,00 %","8,00 %","0,00 %","2,66 %","0,00 %","0,00 %","0,00 %","0,00 %","16,00 %","0,00 %","6,66 %","40,00 %","0,00 %","0,00 %","1,33 %","0,00 %","0,00 %","1,33 %","6,66 %","0,00 %"
572705,Boh·Úka,188,139,139,"18,70 %","0,00 %","0,00 %","3,59 %","0,00 %","12,94 %","14,38 %","0,71 %","0,71 %","3,59 %","0,00 %","0,00 %","4,31 %","0,00 %","7,19 %","20,14 %","0,00 %","0,00 %","2,87 %","0,71 %","0,00 %","0,71 %","9,35 %","0,00 %"
548979,Borek,85,55,55,"10,90 %","0,00 %","1,81 %","3,63 %","0,00 %","20,00 %","0,00 %","1,81 %","0,00 %","1,81 %","0,00 %","0,00 %","12,72 %","0,00 %","9,09 %","27,27 %","0,00 %","0,00 %","5,45 %","0,00 %","0,00 %","0,00 %","5,45 %","0,00 %"
549100,Brada-RybnÌËek,120,82,82,"17,07 %","0,00 %","0,00 %","2,43 %","1,21 %","10,97 %","0,00 %","2,43 %","0,00 %","0,00 %","0,00 %","0,00 %","14,63 %","0,00 %","8,53 %","31,70 %","0,00 %","0,00 %","3,65 %","1,21 %","0,00 %","0,00 %","4,87 %","1,21 %"
549070,B¯ezina,85,57,56,"14,28 %","0,00 %","1,78 %","0,00 %","0,00 %","8,92 %","3,57 %","0,00 %","3,57 %","1,78 %","0,00 %","0,00 %","12,50 %","0,00 %","5,35 %","25,00 %","0,00 %","0,00 %","7,14 %","0,00 %","0,00 %","0,00 %","14,28 %","1,78 %"
548855,B¯Ìöùany,202,122,118,"7,62 %","0,00 %","0,00 %","11,86 %","0,84 %","3,38 %","6,77 %","0,00 %","4,23 %","0,00 %","0,00 %","0,00 %","9,32 %","0,00 %","0,84 %","37,28 %","0,00 %","0,00 %","4,23 %","0,84 %","0,00 %","0,84 %","11,86 %","0,00 %"
548952,BudËeves,130,58,57,"5,26 %","0,00 %","0,00 %","15,78 %","0,00 %","0,00 %","17,54 %","0,00 %","1,75 %","0,00 %","0,00 %","0,00 %","3,50 %","0,00 %","1,75 %","43,85 %","0,00 %","0,00 %","1,75 %","0,00 %","0,00 %","0,00 %","8,77 %","0,00 %"
573353,Bukvice,124,88,88,"4,54 %","0,00 %","0,00 %","7,95 %","1,13 %","6,81 %","6,81 %","2,27 %","0,00 %","2,27 %","0,00 %","0,00 %","9,09 %","0,00 %","0,00 %","48,86 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","10,22 %","0,00 %"
549282,Butoves,206,128,127,"10,23 %","0,00 %","0,78 %","9,44 %","0,00 %","8,66 %","18,11 %","2,36 %","0,78 %","3,93 %","0,00 %","0,00 %","7,08 %","0,00 %","6,29 %","22,04 %","0,00 %","0,00 %","1,57 %","1,57 %","0,00 %","0,78 %","6,29 %","0,00 %"
572772,Byst¯ice,275,152,149,"8,05 %","1,34 %","0,00 %","11,40 %","0,67 %","2,68 %","8,05 %","2,01 %","0,67 %","0,00 %","0,00 %","0,00 %","8,05 %","0,67 %","1,34 %","38,92 %","0,00 %","1,34 %","6,04 %","0,00 %","0,67 %","0,67 %","7,38 %","0,00 %"
572781,Cerekvice nad Byst¯icÌ,620,355,355,"5,63 %","0,00 %","1,40 %","6,19 %","0,00 %","4,78 %","9,57 %","1,12 %","0,28 %","6,19 %","0,28 %","0,00 %","9,29 %","0,00 %","2,81 %","34,64 %","0,00 %","0,84 %","3,94 %","1,12 %","0,00 %","0,00 %","11,83 %","0,00 %"
548995,»erven· T¯emeön·,126,87,87,"5,74 %","1,14 %","0,00 %","3,44 %","0,00 %","18,39 %","9,19 %","1,14 %","0,00 %","2,29 %","0,00 %","0,00 %","5,74 %","0,00 %","11,49 %","27,58 %","0,00 %","0,00 %","3,44 %","0,00 %","0,00 %","0,00 %","10,34 %","0,00 %"
572811,»eöov,188,132,131,"3,05 %","0,00 %","0,00 %","13,74 %","0,00 %","3,05 %","11,45 %","0,76 %","1,52 %","4,58 %","0,00 %","0,00 %","10,68 %","0,00 %","0,00 %","35,11 %","0,00 %","0,00 %","4,58 %","0,00 %","0,00 %","0,00 %","11,45 %","0,00 %"
572829,DÏtenice,621,367,366,"8,19 %","0,00 %","0,00 %","7,10 %","0,00 %","7,10 %","11,20 %","1,09 %","2,45 %","1,36 %","0,54 %","0,00 %","7,10 %","0,27 %","4,64 %","32,78 %","0,27 %","0,54 %","3,55 %","1,36 %","0,00 %","0,00 %","9,83 %","0,54 %"
549118,DÌlce,43,37,35,"5,71 %","0,00 %","0,00 %","0,00 %","0,00 %","11,42 %","5,71 %","0,00 %","2,85 %","5,71 %","0,00 %","0,00 %","2,85 %","0,00 %","5,71 %","40,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","20,00 %","0,00 %"
572837,Dobr· Voda u Ho¯ic,467,296,293,"8,53 %","0,68 %","0,00 %","5,11 %","0,00 %","4,43 %","5,11 %","2,04 %","1,02 %","1,02 %","0,34 %","0,00 %","13,65 %","0,00 %","1,70 %","37,54 %","0,34 %","0,34 %","3,41 %","0,34 %","0,00 %","0,34 %","13,31 %","0,68 %"
549088,DolnÌ Lochov,34,24,23,"34,78 %","0,00 %","0,00 %","0,00 %","0,00 %","4,34 %","13,04 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,69 %","4,34 %","0,00 %","26,08 %","0,00 %","0,00 %","4,34 %","0,00 %","0,00 %","0,00 %","4,34 %","0,00 %"
573337,D¯evÏnice,187,125,124,"14,51 %","0,00 %","0,00 %","5,64 %","0,00 %","8,06 %","6,45 %","1,61 %","3,22 %","0,80 %","0,80 %","0,80 %","11,29 %","0,80 %","2,41 %","30,64 %","0,00 %","0,00 %","7,25 %","0,80 %","0,00 %","0,00 %","4,03 %","0,80 %"
572900,HolÌn,475,354,350,"14,57 %","0,28 %","0,00 %","6,85 %","0,57 %","8,57 %","4,57 %","1,42 %","1,42 %","0,28 %","0,00 %","0,00 %","17,71 %","0,00 %","7,42 %","27,42 %","0,28 %","0,57 %","4,85 %","0,28 %","0,28 %","0,00 %","2,28 %","0,28 %"
572918,Holovousy,421,291,289,"9,34 %","0,00 %","0,00 %","7,61 %","0,00 %","8,99 %","7,26 %","0,69 %","0,34 %","1,03 %","0,00 %","0,34 %","13,84 %","0,00 %","4,49 %","28,71 %","0,00 %","0,34 %","7,95 %","0,34 %","0,00 %","0,00 %","7,61 %","1,03 %"
572926,Ho¯ice,6 867,4 383,4 345,"10,54 %","0,18 %","0,16 %","6,14 %","0,18 %","5,96 %","6,14 %","1,70 %","0,71 %","1,24 %","0,04 %","0,13 %","12,05 %","0,06 %","4,92 %","33,87 %","0,18 %","0,09 %","4,41 %","1,68 %","0,06 %","0,32 %","8,90 %","0,23 %"
549355,Cholenice,185,84,83,"6,02 %","0,00 %","0,00 %","12,04 %","0,00 %","1,20 %","9,63 %","0,00 %","0,00 %","1,20 %","0,00 %","0,00 %","9,63 %","0,00 %","3,61 %","32,53 %","0,00 %","1,20 %","1,20 %","0,00 %","3,61 %","0,00 %","18,07 %","0,00 %"
572969,Chomutice,527,285,283,"4,59 %","0,35 %","0,00 %","6,36 %","0,00 %","7,42 %","12,72 %","0,70 %","1,06 %","0,35 %","0,00 %","0,35 %","7,42 %","0,00 %","2,82 %","39,57 %","0,00 %","0,00 %","4,24 %","0,70 %","1,41 %","0,00 %","9,89 %","0,00 %"
549037,ChoteË,162,115,115,"19,13 %","0,00 %","0,00 %","1,73 %","0,00 %","6,08 %","2,60 %","0,86 %","0,00 %","0,86 %","0,00 %","0,00 %","8,69 %","0,00 %","10,43 %","29,56 %","0,00 %","0,00 %","6,08 %","0,86 %","0,00 %","0,00 %","13,04 %","0,00 %"
549223,Chyjice,131,74,73,"15,06 %","0,00 %","0,00 %","10,95 %","0,00 %","10,95 %","4,10 %","0,00 %","1,36 %","0,00 %","0,00 %","0,00 %","4,10 %","0,00 %","1,36 %","30,13 %","0,00 %","0,00 %","9,58 %","0,00 %","0,00 %","1,36 %","10,95 %","0,00 %"
572993,Je¯ice,312,198,197,"6,59 %","0,00 %","0,00 %","7,10 %","0,00 %","8,12 %","5,58 %","0,50 %","2,03 %","3,04 %","0,00 %","0,50 %","6,59 %","0,00 %","2,03 %","40,60 %","0,50 %","1,52 %","2,53 %","1,52 %","0,00 %","0,50 %","10,65 %","0,00 %"
572659,JiËÌn,12 769,8 019,7 956,"11,86 %","0,33 %","0,16 %","6,61 %","0,08 %","5,68 %","7,40 %","1,35 %","0,86 %","1,24 %","0,12 %","0,13 %","13,27 %","0,01 %","4,68 %","31,97 %","0,11 %","0,27 %","5,11 %","0,85 %","0,08 %","0,08 %","7,21 %","0,41 %"
573001,JiËÌnÏves,492,240,240,"10,41 %","0,41 %","0,00 %","8,75 %","0,00 %","2,50 %","12,08 %","0,41 %","1,25 %","0,00 %","0,00 %","0,00 %","13,33 %","0,00 %","3,33 %","29,58 %","0,41 %","0,00 %","3,75 %","0,83 %","0,00 %","0,00 %","12,08 %","0,83 %"
549151,Jinolice,153,120,120,"8,33 %","0,00 %","0,00 %","1,66 %","0,00 %","6,66 %","5,00 %","0,83 %","0,83 %","5,00 %","0,83 %","0,00 %","10,83 %","0,00 %","1,66 %","36,66 %","0,00 %","0,83 %","5,00 %","0,00 %","0,00 %","0,00 %","15,00 %","0,83 %"
